,name,price,image,rate
47,"XIAOMI Redmi A3 - 6.7"" 64GB/3GB Dual SIM 4G Mobile Phone - Star Blue","EGP 4,290.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
48,"OPPO A3 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Starry Purple","EGP 10,200.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
49,The First Touch And Keybad (4G) Mobile Phone That Supports Wi-Fi And Android App,"EGP 2,100.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
50,Infinix Smart 8 Mobile Phone - 6.6 Inches - Dual SIM 4G 64GB/4GB - Timber Black,"EGP 4,290.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
51,XIAOMI Redmi Note 13 - 8GB RAM - 256GB - Blue,"EGP 9,699.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
52,XIAOMI Redmi 13 - 6.79-inch 256GB/8GB Dual SIM Mobile Phone - Midnight Black,"EGP 8,299.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
53,"OPPO A60 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Ripple Blue","EGP 10,505.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
54,"Samsung Galaxy A15 - 6.5"" 128GB/6GB Dual SIM 4G Mobile Phone- Light Blue","EGP 8,250.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
55,XIAOMI Redmi 14C - 6.88-inch 4GB/128GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 5,999.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
56,A car mobile phone holder with a clip attached to the sunshade,EGP 199.00,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
57,Samsung Galaxy A15 - 8GB RAM - 256GB - Blue Black,"EGP 9,999.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
58,Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/4GB - Black,"EGP 7,150.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
59,Infinix Smart 8 Mobile Phone - 6.6 Inches - Dual SIM 4G 128GB/4GB - Timber Black,"EGP 4,785.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
60,Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/4GB - Light Violet,"EGP 7,150.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
61,"OPPO A60 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Purple","EGP 10,505.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
62,Hope K19 - 2.4 Inch 4 SIM Card Mobile Phone - Black,"EGP 1,350.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
63,Samsung Galaxy A35 Mobile Phone- 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Navy,"EGP 17,380.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
64,"OPPO A3 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Sparkle Black","EGP 10,200.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
65,XIAOMI Redmi A3 - 6.71-inch 3GB/64GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 4,399.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
66,Samsung Galaxy A25 Mobile Phone - 6.5 Inches - Dual SIM 5G 256GB/8GB - Blue Black,"EGP 11,990.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
67,XIAOMI Redmi 14C - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 7,399.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
68,XIAOMI Redmi A3 - 6.7 Inches &ndash; Dual Sim 4G 64GB/3GB - Midnight Black,"EGP 4,290.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
69,XIAOMI Redmi A3 - 6.71-inch 3GB/64GB Dual Sim 4G Mobile Phone - Forest Green,"EGP 4,399.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
70,"OPPO A3 - 6.6"" 128GB/6GB Dual SIM 4G Mobile Phone - Starlight White","EGP 8,600.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
71,"Girasol (Girasole) G30-2.4-inch Dual SIM Mobile Phone - Gold, Earphone Free, 12 Months Warranty",EGP 750.00,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
72,OPPO A18 - 6.5 Inches Mobile Phone - Dual SIM 4G 64GB/4GB - Glowing Black,"EGP 5,775.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
73,XIAOMI Redmi A3 - 6.7 Inches &ndash; Dual Sim 4G 128GB/4GB - Midnight Black,"EGP 5,335.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
74,OPPO A18 Mobile Phone - 6.56 Inches - Dual SIM 4G 64GB/4GB - Glowing Blue,"EGP 5,775.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
75,OPPO Reno 12F - Dual SIM 5G 512GB/12GB Mobile Phone - Olive Green,"EGP 17,360.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
76,XIAOMI Redmi 14C - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Dreamy Purple,"EGP 7,399.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
77,Samsung Galaxy A05s Mobile Phone Dual SIM 4G 128GB/4GB - Silver,"EGP 7,150.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
78,Samsung Galaxy A25 Mobile Phone - 6.5 Inches - Dual SIM 5G 256GB/8GB - Yellow,"EGP 11,990.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
79,Itel It2160 - 1.77-inch Dual SIM Mobile Phone - Dark Blue,EGP 699.00,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
80,"OPPO Reno 12F - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Olive Green","EGP 12,650.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
81,"OPPO Reno 12F - 6.6"" 256GB/12GB Dual SIM 5G Phone Mobile - Olive Green","EGP 15,620.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
82,"OPPO Reno 12F - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Matte Grey","EGP 12,650.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
83,"OPPO Reno 12F - 6.6"" 256GB/12GB Dual SIM 5G Phone Mobile - Amber Orange","EGP 15,620.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
84,XIAOMI Redmi Note 13 - 8GB RAM - 256GB - Black,"EGP 9,699.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
85,realme Note 50 Mobile Phone - 6.74 Inches - Dual SIM 4G 64GB/3GB - Midnight Black,"EGP 4,840.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
86,"OPPO Reno 12F - 6.6"" 512GB/12GB Dual SIM 5G Mobile Phone - Amber Orange","EGP 17,360.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
87,"XIAOMI Redmi A3 - 6.7"" 64GB/3GB Dual SIM 4G Mobile Phone - Star Blue","EGP 4,290.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
88,"OPPO A3 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Starry Purple","EGP 10,200.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
89,The First Touch And Keybad (4G) Mobile Phone That Supports Wi-Fi And Android App,"EGP 2,100.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
90,Infinix Smart 8 Mobile Phone - 6.6 Inches - Dual SIM 4G 64GB/4GB - Timber Black,"EGP 4,290.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
91,XIAOMI Redmi Note 13 - 8GB RAM - 256GB - Blue,"EGP 9,699.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
92,XIAOMI Redmi 13 - 6.79-inch 256GB/8GB Dual SIM Mobile Phone - Midnight Black,"EGP 8,699.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
93,"OPPO A60 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Ripple Blue","EGP 10,505.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
94,"Samsung Galaxy A15 - 6.5"" 128GB/6GB Dual SIM 4G Mobile Phone- Light Blue","EGP 8,250.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
